Date,wikipedia_pageviews
2016-02-18,22422.0
2016-02-19,16070.0
2016-02-20,11918.0
2016-02-21,11716.0
2016-02-22,11513.0
2016-02-23,10863.0
2016-02-24,10723.0
2016-02-25,11566.0
2016-02-26,8885.0
2016-02-27,8268.0
2016-02-28,7831.0
2016-02-29,9651.0
2016-03-01,10153.0
2016-03-02,9459.0
2016-03-03,10031.0
2016-03-04,8543.0
2016-03-05,7679.0
2016-03-06,8557.0
2016-03-07,10637.0
2016-03-08,10109.0
2016-03-09,9119.0
2016-03-10,8640.0
2016-03-11,8023.0
2016-03-12,6626.0
2016-03-13,9435.0
2016-03-14,10794.0
2016-03-15,10409.0
2016-03-16,9168.0
2016-03-17,8368.0
2016-03-18,7623.0
2016-03-19,6247.0
2016-03-20,7103.0
2016-03-21,8780.0
2016-03-22,9147.0
2016-03-23,8634.0
2016-03-24,9154.0
2016-03-25,7603.0
2016-03-26,6543.0
2016-03-27,7363.0
2016-03-28,8920.0
2016-03-29,9056.0
2016-03-30,8738.0
2016-03-31,8747.0
2016-04-01,7796.0
2016-04-02,7048.0
2016-04-03,7701.0
2016-04-04,8945.0
2016-04-05,10338.0
2016-04-06,8844.0
2016-04-07,8596.0
2016-04-08,9075.0
2016-04-09,6639.0
2016-04-10,7263.0
2016-04-11,9580.0
2016-04-12,9069.0
2016-04-13,9421.0
2016-04-14,9188.0
2016-04-15,8044.0
2016-04-16,6127.0
2016-04-17,6649.0
2016-04-18,8199.0
2016-04-19,9412.0
2016-04-20,8777.0
2016-04-21,11743.0
2016-04-22,12084.0
2016-04-23,7659.0
2016-04-24,8797.0
2016-04-25,9546.0
2016-04-26,9756.0
2016-04-27,9176.0
2016-04-28,9900.0
2016-04-29,8072.0
2016-04-30,6586.0
2016-05-01,7025.0
2016-05-02,89547.0
2016-05-03,45695.0
2016-05-04,20558.0
2016-05-05,25888.0
2016-05-06,17502.0
2016-05-07,11558.0
2016-05-08,11613.0
2016-05-09,13848.0
2016-05-10,12811.0
2016-05-11,16721.0
2016-05-12,17175.0
2016-05-13,9961.0
2016-05-14,12427.0
2016-05-15,12559.0
2016-05-16,12247.0
2016-05-17,9303.0
2016-05-18,10261.0
2016-05-19,12704.0
2016-05-20,8809.0
2016-05-21,7079.0
2016-05-22,7734.0
2016-05-23,9439.0
2016-05-24,9745.0
2016-05-25,8550.0
2016-05-26,8559.0
2016-05-27,8700.0
2016-05-28,8140.0
2016-05-29,7925.0
2016-05-30,13545.0
2016-05-31,14649.0
2016-06-01,11593.0
2016-06-02,9992.0
2016-06-03,10522.0
2016-06-04,8427.0
2016-06-05,11645.0
2016-06-06,10709.0
2016-06-07,10221.0
2016-06-08,9873.0
2016-06-09,9686.0
2016-06-10,8862.0
2016-06-11,8235.0
2016-06-12,9122.0
2016-06-13,12812.0
2016-06-14,11225.0
2016-06-15,10453.0
2016-06-16,11705.0
2016-06-17,11213.0
2016-06-18,9926.0
2016-06-19,10583.0
2016-06-20,12237.0
2016-06-21,12419.0
2016-06-22,10637.0
2016-06-23,10576.0
2016-06-24,19485.0
2016-06-25,13130.0
2016-06-26,8771.0
2016-06-27,12055.0
2016-06-28,10439.0
2016-06-29,11503.0
2016-06-30,10351.0
2016-07-01,9122.0
2016-07-02,8167.0
2016-07-03,9208.0
2016-07-04,9719.0
2016-07-05,9776.0
2016-07-06,9550.0
2016-07-07,9990.0
2016-07-08,9093.0
2016-07-09,9336.0
2016-07-10,10963.0
2016-07-11,10808.0
2016-07-12,10526.0
2016-07-13,10617.0
2016-07-14,9455.0
2016-07-15,9026.0
2016-07-16,7465.0
2016-07-17,8469.0
2016-07-18,9265.0
2016-07-19,8594.0
2016-07-20,8706.0
2016-07-21,8963.0
2016-07-22,11080.0
2016-07-23,7503.0
2016-07-24,7720.0
2016-07-25,9705.0
2016-07-26,11232.0
2016-07-27,11588.0
2016-07-28,9608.0
2016-07-29,8636.0
2016-07-30,7977.0
2016-07-31,68744.0
2016-08-01,8979.0
2016-08-02,10183.0
2016-08-03,20889.0
2016-08-04,13756.0
2016-08-05,10113.0
2016-08-06,8210.0
2016-08-07,14426.0
2016-08-08,12667.0
2016-08-09,11998.0
2016-08-10,11393.0
2016-08-11,8702.0
2016-08-12,8200.0
2016-08-13,8243.0
2016-08-14,7195.0
2016-08-15,8361.0
2016-08-16,8803.0
2016-08-17,9089.0
2016-08-18,10421.0
2016-08-19,9974.0
2016-08-20,7154.0
2016-08-21,7602.0
2016-08-22,8703.0
2016-08-23,9225.0
2016-08-24,9528.0
2016-08-25,9988.0
2016-08-26,9715.0
2016-08-27,7708.0
2016-08-28,8009.0
2016-08-29,9769.0
2016-08-30,9014.0
2016-08-31,9761.0
2016-09-01,9460.0
2016-09-02,8399.0
2016-09-03,7929.0
2016-09-04,8230.0
2016-09-05,9341.0
2016-09-06,9693.0
2016-09-07,9797.0
2016-09-08,10260.0
2016-09-09,9458.0
2016-09-10,8414.0
2016-09-11,8128.0
2016-09-12,12303.0
2016-09-13,11330.0
2016-09-14,10731.0
2016-09-15,11608.0
2016-09-16,11372.0
2016-09-17,10602.0
2016-09-18,9720.0
2016-09-19,10176.0
2016-09-20,10303.0
2016-09-21,9507.0
2016-09-22,10163.0
2016-09-23,8433.0
2016-09-24,9133.0
2016-09-25,7924.0
2016-09-26,9918.0
2016-09-27,8864.0
2016-09-28,10660.0
2016-09-29,8419.0
2016-09-30,8792.0
2016-10-01,8601.0
2016-10-02,8041.0
2016-10-03,8909.0
2016-10-04,9753.0
2016-10-05,9800.0
2016-10-06,9020.0
2016-10-07,9804.0
2016-10-08,7514.0
2016-10-09,7420.0
2016-10-10,8394.0
2016-10-11,10270.0
2016-10-12,10622.0
2016-10-13,9291.0
2016-10-14,8857.0
2016-10-15,7244.0
2016-10-16,7685.0
2016-10-17,9412.0
2016-10-18,9423.0
2016-10-19,9258.0
2016-10-20,8366.0
2016-10-21,10798.0
2016-10-22,7065.0
2016-10-23,8432.0
2016-10-24,9283.0
2016-10-25,10462.0
2016-10-26,9056.0
2016-10-27,9040.0
2016-10-28,14851.0
2016-10-29,11299.0
2016-10-30,9047.0
2016-10-31,12396.0
2016-11-01,10585.0
2016-11-02,10692.0
2016-11-03,10154.0
2016-11-04,9423.0
2016-11-05,12504.0
2016-11-06,11283.0
2016-11-07,12161.0
2016-11-08,12423.0
2016-11-09,13461.0
2016-11-10,11984.0
2016-11-11,10447.0
2016-11-12,9303.0
2016-11-13,10029.0
2016-11-14,23393.0
2016-11-15,15372.0
2016-11-16,16299.0
2016-11-17,15529.0
2016-11-18,18708.0
2016-11-19,12925.0
2016-11-20,16554.0
2016-11-21,14835.0
2016-11-22,16363.0
2016-11-23,18741.0
2016-11-24,16980.0
2016-11-25,13992.0
2016-11-26,13654.0
2016-11-27,14972.0
2016-11-28,17343.0
2016-11-29,16634.0
2016-11-30,12276.0
2016-12-01,11267.0
2016-12-02,11793.0
2016-12-03,8992.0
2016-12-04,9628.0
2016-12-05,10874.0
2016-12-06,11956.0
2016-12-07,11293.0
2016-12-08,11414.0
2016-12-09,10046.0
2016-12-10,9888.0
2016-12-11,9427.0
2016-12-12,10852.0
2016-12-13,12285.0
2016-12-14,11821.0
2016-12-15,11320.0
2016-12-16,10845.0
2016-12-17,9297.0
2016-12-18,9699.0
2016-12-19,12177.0
2016-12-20,12132.0
2016-12-21,12697.0
2016-12-22,13775.0
2016-12-23,14558.0
2016-12-24,11923.0
2016-12-25,11176.0
2016-12-26,12673.0
2016-12-27,13726.0
2016-12-28,14616.0
2016-12-29,16200.0
2016-12-30,16672.0
2016-12-31,10684.0
2017-01-01,9846.0
2017-01-02,23985.0
2017-01-03,25709.0
2017-01-04,22725.0
2017-01-05,26351.0
2017-01-06,22525.0
2017-01-07,17749.0
2017-01-08,16913.0
2017-01-09,18233.0
2017-01-10,16730.0
2017-01-11,18651.0
2017-01-12,18712.0
2017-01-13,17254.0
2017-01-14,15833.0
2017-01-15,12651.0
