Date,mvrv_ratio_z_proxy,puell_multiple,mvrv_implied_profitability_proxy
2012-01-01,,,0.541832097510292
2012-01-02,,,0.532569006372575
2012-01-03,,,0.4948561909766792
2012-01-04,,,0.5716204626085113
2012-01-05,,,0.695412643507034
2012-01-06,,,0.6738873881024581
2012-01-07,,,0.6826875546120642
2012-01-08,,,0.7076887762393133
2012-01-09,,,0.6282927835882084
2012-01-10,,,0.6519525749260109
2012-01-11,,,0.6844567518690419
2012-01-12,,,0.6701962413013617
2012-01-13,,,0.6384058686204074
2012-01-14,,,0.6667148692438104
2012-01-15,,,0.6922542537549775
2012-01-16,,,0.6603140623603809
2012-01-17,,,0.5484743126430354
2012-01-18,,,0.580315501791108
2012-01-19,,,0.6207593032233559
2012-01-20,,,0.6386324382645935
2012-01-21,,,0.6064210467231259
2012-01-22,,,0.618478376335535
2012-01-23,,,0.6251264766760641
2012-01-24,,,0.6146851141864326
2012-01-25,,,0.5676148323881256
2012-01-26,,,0.5224975255408486
2012-01-27,,,0.5166439872350463
2012-01-28,,,0.5545534363810254
2012-01-29,,,0.526710284683093
2012-01-30,,,0.5389043659778049
2012-01-31,,,0.543224013316493
2012-02-01,,,0.5981816193442909
2012-02-02,,,0.6001419222969334
2012-02-03,,,0.5847575421396413
2012-02-04,,,0.5788993398779423
2012-02-05,,,0.5563436849019547
2012-02-06,,,0.5367172349087962
2012-02-07,,,0.555729171157655
2012-02-08,,,0.5512608564638807
2012-02-09,,,0.5739196107677806
2012-02-10,,,0.5847101795793325
2012-02-11,,,0.5494102950774581
2012-02-12,,,0.5396852483543655
2012-02-13,,,0.5264986570458181
2012-02-14,,,0.4377799328766025
2012-02-15,,,0.4229689572703576
2012-02-16,,,0.4168022120713464
2012-02-17,,,0.431943035996665
2012-02-18,,,0.4204804948679262
2012-02-19,,,0.4338218105462978
2012-02-20,,,0.4316187580718583
2012-02-21,,,0.4268064484087355
2012-02-22,,,0.4385546212883817
2012-02-23,,,0.5056707463395606
2012-02-24,,,0.5038297951002028
2012-02-25,,,0.4759564981647158
2012-02-26,,,0.4929175737368946
2012-02-27,,,0.4956361138099689
2012-02-28,,,0.4850286586648669
2012-02-29,,,0.4906699151441634
2012-03-01,,,0.4959731245683319
2012-03-02,,,0.4740256567654723
2012-03-03,,,0.4646963023517846
2012-03-04,,,0.4873913716712897
2012-03-05,,,0.5036081298676383
2012-03-06,,,0.5040165361006299
2012-03-07,,,0.4995824235970838
2012-03-08,,,0.4981563423557054
2012-03-09,,,0.4913208983496242
2012-03-10,,,0.4883588461083968
2012-03-11,,,0.4942137688217527
2012-03-12,,,0.4964120375879585
2012-03-13,,,0.5377766451665338
2012-03-14,,,0.5478074624121376
2012-03-15,,,0.5417938558292903
2012-03-16,,,0.5410029483432077
2012-03-17,,,0.5299912640931519
2012-03-18,,,0.5337998774703079
2012-03-19,,,0.4695649119295514
2012-03-20,,,0.4867134401748689
2012-03-21,,,0.4863742810090348
2012-03-22,,,0.4772978698268662
2012-03-23,,,0.4731164200090144
2012-03-24,,,0.4693952718500155
2012-03-25,,,0.4589224988410756
2012-03-26,,,0.4681855381998348
2012-03-27,,,0.4881014843014697
2012-03-28,,,0.4857856326751404
2012-03-29,,,0.4865154886491442
2012-03-30,,0.9175252149485869,0.502094514248387
2012-03-31,,1.0185527435937216,0.5052107478454816
2012-04-01,,0.8355166792698109,0.4944048745612823
2012-04-02,,0.7117724269414594,0.5156956308988769
2012-04-03,,0.8133221007376938,0.5143895198989654
2012-04-04,,0.8327723295820408,0.5100029396698907
2012-04-05,,0.7137786501947588,0.5102011337305268
2012-04-06,,0.8358825111146783,0.5131046750976586
2012-04-07,,0.7564022045420822,0.4862033981085618
2012-04-08,,0.8934137836809675,0.4941312250361429
2012-04-09,,0.884039885152074,0.5020109046578005
2012-04-10,,0.8890388283968564,0.5008792180937889
2012-04-11,,0.8668971917117656,0.5090292977844861
2012-04-12,,0.7802608954644552,0.5070581871108664
2012-04-13,,0.7625659994683869,0.5106270118736308
2012-04-14,,0.8667057970594101,0.5129348183496993
2012-04-15,,0.6699803596932937,0.5131964395755066
2012-04-16,,0.9377242021680792,0.5117022695704938
2012-04-17,,0.8482183143225841,0.5136221466452104
2012-04-18,,0.843606882325485,0.5306367605595057
2012-04-19,,1.0199291237701589,0.5309485783982488
2012-04-20,,1.045942859845856,0.5561545551838173
2012-04-21,,1.0293059924816312,0.5466868145150366
2012-04-22,,0.9209815455827786,0.5364857386098957
2012-04-23,,0.8745776030874552,0.5276811401450817
2012-04-24,,0.8908379836203963,0.525074556942026
2012-04-25,,0.830870282113826,0.5289777520763731
2012-04-26,,1.0038979655360776,0.523989111610944
2012-04-27,,0.8750335853382687,0.5238098151961921
2012-04-28,,0.9613416008194752,0.510044008158623
2012-04-29,,1.1155054250837546,0.5036538269575968
2012-04-30,,1.1233396134763394,0.508516751172611
2012-05-01,,1.0759021190493887,0.5135810865528568
2012-05-02,,0.9622436464243932,0.5209803980210013
2012-05-03,,1.0200235678255698,0.5281466347489799
2012-05-04,,1.0388675736808108,0.5243690410407174
2012-05-05,,1.0708589268540072,0.5211081068899515
